sensor_id,time,temperature,pressure,humidity,gas_resistance,smell
0,552568,30.308859,9.115979,36.892719,65877.507812,air
1,552622,30.285059,9.11594,37.039494,89136.492188,air
2,552677,30.470383,9.118251,36.393471,50039.09375,air
3,552732,30.631845,9.11834,36.109924,58796.507812,air
4,552788,31.236139,9.120299,34.909081,46010.066406,air
5,552843,30.89175,9.119171,35.499847,40894.570312,air
6,552898,30.768337,9.116574,35.533623,41857.421875,air
7,552953,30.571844,9.117876,35.57058,66545.359375,air
0,555568,30.321421,9.116057,36.835743,66081.570312,air
1,555622,30.323248,9.116149,36.984985,89604.476562,air
2,555677,30.490643,9.118414,36.354675,50274.941406,air
3,555732,30.649546,9.11821,36.077057,59369.203125,air
4,555788,31.25127,9.12009,34.875904,45911.046875,air
5,555843,30.901852,9.119228,35.477512,40699.523438,air
6,555898,30.80357,9.116557,35.485004,42063.753906,air
7,555953,30.599926,9.117993,35.550198,66649.3125,air
0,558568,30.33147,9.115906,36.743568,66184.078125,air
1,558622,30.328339,9.116052,36.880226,90077.414062,air
2,558677,30.510904,9.11836,36.286697,50245.339844,air
3,558732,30.664719,9.118184,35.968819,59163.394531,air
4,558788,31.256311,9.1202,34.755032,46309.695312,air
5,558843,30.917007,9.119183,35.368114,40855.410156,air
6,558898,30.768337,9.116644,35.348076,42063.753906,air
7,558953,30.58461,9.118085,35.438248,66649.3125,air
0,561568,30.34403,9.116091,36.651703,66081.570312,air
1,561622,30.348705,9.116184,36.782986,90172.59375,air
2,561677,30.518503,9.118305,36.164921,50453.292969,air
3,561732,30.684952,9.118126,35.861179,59081.46875,air
4,561788,31.273962,9.120048,34.629745,46460.980469,air
5,561843,30.937214,9.119297,35.247631,40816.328125,air
6,561898,30.75827,9.116565,35.237003,42230.285156,air
7,561953,30.579504,9.11799,35.298412,66649.3125,air
0,564568,30.371668,9.116145,36.596371,66805.84375,air
1,564622,30.374165,9.116253,36.709694,90077.414062,air
2,564677,30.538763,9.118397,36.11451,50602.886719,air
3,564732,30.702652,9.118226,35.787952,59534.882812,air
4,564788,31.273962,9.120317,34.566254,46511.628906,air
5,564843,30.932163,9.119417,35.177147,41131.105469,air
6,564898,30.723038,9.11639,35.169758,42356.054688,air
7,564953,30.546316,9.117993,35.248642,66963.117188,air
0,567568,30.399303,9.116233,36.541058,66545.359375,air
1,567622,30.391983,9.1161,36.635628,90747.960938,air
2,567677,30.553959,9.118271,36.057758,50874.402344,air
3,567732,30.707708,9.118229,35.742317,59911.070312,air
4,567788,31.261356,9.120221,34.530376,46562.386719,air
5,567843,30.927109,9.119126,35.141666,41131.105469,air
6,567898,30.692837,9.11664,35.16671,42609.855469,air
7,567953,30.51568,9.11759,35.245548,67492.75,air
0,570568,30.429453,9.116272,36.49765,66910.609375,air
1,570622,30.447992,9.11635,36.618111,90844.570312,air
2,570678,30.586884,9.118343,36.008682,50602.886719,air
3,570732,30.750698,9.11838,35.700562,59827.0625,air
4,570788,31.263876,9.120114,34.496014,46613.253906,air
5,570843,30.927109,9.119258,35.100872,41131.105469,air
6,570898,30.665155,9.116613,35.163914,42567.34375,air
7,570953,30.502914,9.117613,35.221058,67173.96875,air
0,573568,30.444525,9.116091,36.464314,66597.296875,air
1,573622,30.481089,9.116306,36.557339,90844.570312,air
2,573677,30.591949,9.118052,35.974236,50813.816406,air
3,573732,30.77599,9.118254,35.657013,60037.523438,air
4,573788,31.276485,9.120299,34.508804,48120.300781,air
5,573843,30.937214,9.119334,35.096058,41491.085938,air
6,573898,30.657604,9.116624,35.197876,42567.34375,air
7,573953,30.495258,9.117888,35.249287,67599.679688,air
0,576568,30.452063,9.116025,36.412766,67173.96875,air
1,576623,30.483633,9.116257,36.510918,90844.570312,air
2,576677,30.599548,9.118198,35.96336,50935.136719,air
3,576732,30.783575,9.118402,35.646259,59911.070312,air
4,576788,31.284052,9.120251,34.49226,46715.328125,air
5,576843,30.949841,9.119367,35.108986,41571.9375,air
6,576898,30.662638,9.116437,35.215752,42823.6875,air
7,576953,30.50802,9.117795,35.267971,67386.15625,air
0,579568,30.477188,9.116112,36.415363,67015.703125,air
1,579622,30.491268,9.116109,36.505878,90844.570312,air
2,579677,30.624874,9.118361,35.94265,50874.402344,air
3,579732,30.788631,9.118209,35.612175,60164.511719,air
4,579788,31.266397,9.120332,34.513569,48093.179688,air
5,579843,30.939739,9.119141,35.102142,41571.9375,air
6,579898,30.655087,9.11641,35.278675,43126.683594,air
7,579953,30.505468,9.117757,35.308327,67976.632812,air
0,582568,30.499798,9.116005,36.400269,66805.84375,air
1,582622,30.516729,9.116266,36.508518,90747.960938,air
2,582677,30.64007,9.11818,35.915077,50935.136719,air
3,582732,30.806335,9.118006,35.619751,60079.792969,air
4,582788,31.238659,9.119959,34.551186,48174.632812,air
5,582843,30.934687,9.119319,35.154083,41775.457031,air
6,582898,30.632437,9.116266,35.316929,42996.304688,air
7,582953,30.464621,9.117467,35.344814,68030.828125,air
0,585568,30.524921,9.115969,36.408691,67226.890625,air
1,585622,30.549824,9.116257,36.523636,91428.570312,air
2,585677,30.670462,9.118236,35.94733,51087.605469,air
3,585732,30.831623,9.118076,35.645397,60249.46875,air
4,585788,31.256311,9.120165,34.610657,47985.003906,air
5,585843,30.937214,9.118959,35.183487,41612.484375,air
6,585898,30.627405,9.116437,35.403328,42953.019531,air
7,585953,30.479939,9.117751,35.416016,68085.109375,air
0,588568,30.542507,9.116103,36.427959,67653.273438,air
1,588622,30.57019,9.116055,36.51992,91330.71875,air
2,588677,30.678061,9.118144,35.965603,51057.039062,air
3,588732,30.859442,9.118111,35.659775,59953.160156,air
4,588788,31.273962,9.120246,34.675938,48201.84375,air
5,588843,30.954891,9.119152,35.249424,41693.8125,air
6,588898,30.647537,9.116299,35.469131,43083.136719,air
7,588953,30.495258,9.117392,35.475647,68085.109375,air
0,591568,30.555069,9.11606,36.435081,67121.132812,air
1,591622,30.585464,9.116093,36.533176,91233.070312,air
2,591677,30.690723,9.118362,35.9669,51333.46875,air
3,591732,30.861969,9.118237,35.665798,60548.722656,air
4,591788,31.299183,9.119987,34.690014,48256.363281,air
5,591843,30.970047,9.119049,35.25679,41816.398438,air
6,591898,30.69787,9.116226,35.474251,43126.683594,air
7,591953,30.530996,9.117515,35.490891,68248.46875,air
0,594568,30.555069,9.116253,36.336246,67599.679688,air
1,594622,30.595648,9.116035,36.452545,91233.070312,air
2,594677,30.678061,9.118144,35.884029,51738.074219,air
3,594732,30.869556,9.118117,35.574318,60334.667969,air
4,594788,31.291616,9.120038,34.573784,48530.804688,air
5,594844,30.947315,9.118921,35.16119,41775.457031,air
6,594898,30.695354,9.116293,35.363861,43257.855469,air
7,594953,30.495258,9.117428,35.388546,68632.710938,air
0,597568,30.565119,9.116173,36.197845,67653.273438,air
1,597623,30.585464,9.115812,36.282391,92020.132812,air
2,597677,30.705917,9.118198,35.752953,51644.140625,air
3,597732,30.879673,9.118033,35.437065,60677.886719,air
4,597788,31.284052,9.120106,34.451885,48613.75,air
5,597843,30.964996,9.119152,35.063904,42105.261719,air
6,597898,30.670187,9.116147,35.228096,43522.613281,air
7,597953,30.497808,9.117447,35.261143,68798.710938,air
0,600568,30.572657,9.115967,36.12896,67546.171875,air
1,600622,30.610922,9.116179,36.226761,91723.398438,air
2,600677,30.726181,9.118344,35.667732,51612.902344,air
3,600732,30.902431,9.118191,35.381794,61156.234375,air
4,600788,31.296658,9.120023,34.407013,48780.488281,air
5,600843,30.975098,9.119116,35.012497,42230.285156,air
6,600898,30.670187,9.116217,35.175999,43478.261719,air
7,600953,30.502914,9.117542,35.232655,68467.507812,air
0,603568,30.585217,9.116063,36.078014,67976.632812,air
1,603623,30.610922,9.116143,36.174335,92020.132812,air
2,603677,30.733776,9.118417,35.645241,51990.25,air
3,603732,30.899902,9.118259,35.312458,60591.714844,air
4,603788,31.286572,9.12009,34.388718,48864.285156,air
5,603843,30.972574,9.119063,34.965656,42314.050781,air
6,603898,30.662638,9.116471,35.163662,43522.613281,air
7,603953,30.510574,9.11778,35.192841,68743.289062,air
0,606568,30.632954,9.116077,36.106148,68248.46875,air
1,606622,30.672024,9.116208,36.186466,93962.195312,air
2,606677,30.776834,9.118362,35.638004,51550.542969,air
3,606732,30.95048,9.118203,35.317585,60721.0625,air
4,606788,31.329441,9.120325,34.485245,48586.070312,air
5,606843,30.995304,9.119135,35.066959,41775.457031,air
6,606898,30.710455,9.116431,35.353798,43170.320312,air
7,606953,30.543762,9.117706,35.416679,68139.476562,air
0,609568,30.670639,9.11605,36.336594,67653.273438,air
1,609622,30.707666,9.116096,36.411682,91624.914062,air
2,609677,30.807226,9.118436,35.967228,51271.78125,air
3,609732,30.978296,9.118416,35.6777,60981.417969,air
4,609788,31.329441,9.120433,34.96476,48503.222656,air
5,609843,30.995304,9.11921,35.592224,41980.976562,air
6,609898,30.700388,9.116579,35.747295,43345.75,air
7,609953,30.518234,9.117575,35.885101,68193.929688,air
0,612568,30.668125,9.116206,36.30727,67868.507812,air
1,612622,30.697483,9.116154,36.393116,91624.914062,air
2,612677,30.799627,9.118345,35.919815,51738.074219,air
3,612732,30.960596,9.118405,35.606667,60850.960938,air
4,612788,31.294138,9.120398,34.793503,48420.65625,air
5,612843,30.954891,9.119358,35.430347,42146.855469,air
6,612898,30.665155,9.116405,35.633369,43434.0,air
7,612953,30.462067,9.117766,35.704758,68743.289062,air
0,615568,30.660589,9.116291,36.265808,67976.632812,air
1,615622,30.707666,9.116131,36.3242,94013.953125,air
2,615677,30.794561,9.118344,35.855209,51958.59375,air
3,615732,30.970709,9.1185,35.515465,61025.03125,air
4,615788,31.304224,9.120403,34.725178,48836.320312,air
5,615843,30.952368,9.119343,35.342525,42230.285156,air
6,615898,30.685287,9.116476,35.548374,43790.625,air
7,615953,30.477386,9.117764,35.630722,68632.710938,air
0,618568,30.612854,9.116311,36.260864,68193.929688,air
1,618622,30.689844,9.116355,36.363167,91822.09375,air
2,618677,30.746441,9.118616,35.856087,51769.464844,air
3,618732,30.965652,9.118425,35.54377,60677.886719,air
4,618788,31.31431,9.120193,34.749302,49004.59375,air
5,618843,30.911957,9.11921,35.379276,42188.53125,air
6,618898,30.718006,9.11656,35.55751,43700.921875,air
7,618953,30.462067,9.11782,35.646606,68632.710938,air
0,621568,30.547531,9.116179,36.40522,67976.632812,air
1,621623,30.659296,9.116243,36.476662,91822.09375,air
